[marketdata] Connected to ws://127.0.0.1:8080/ws
[md-lifecycle] connect url=ws://127.0.0.1:8080/ws
[md-lifecycle] hello_sent rid=h1
[md-lifecycle] subscribe_sent subject=marketdata.trade/binance/BTCUSDT/raw rid=r2
[md-lifecycle] subscribe_sent subject=marketdata.bookdelta/binance/BTCUSDT/raw rid=r3
[md-lifecycle] subscribe_sent subject=aggregation.stats/binance/BTCUSDT/raw rid=r4
[md-lifecycle] subscribe_sent subject=insights.heatmap_snapshot/binance/BTCUSDT/1m rid=r5
[md-lifecycle] subscribe_sent subject=insights.volume_profile_snapshot/binance/BTCUSDT/1m rid=r6
[md-lifecycle] subscribe_sent subject=aggregation.candle/binance/BTCUSDT/1m rid=r7
[md-lifecycle] subscribe_sent subject=marketdata.trade/binance/ETHUSDT/raw rid=r8
[md-lifecycle] subscribe_sent subject=marketdata.bookdelta/binance/ETHUSDT/raw rid=r9
[md-lifecycle] subscribe_sent subject=aggregation.stats/binance/ETHUSDT/raw rid=r10
[md-lifecycle] subscribe_sent subject=insights.heatmap_snapshot/binance/ETHUSDT/1m rid=r11
[md-lifecycle] subscribe_sent subject=insights.volume_profile_snapshot/binance/ETHUSDT/1m rid=r12
[md-lifecycle] subscribe_sent subject=aggregation.candle/binance/ETHUSDT/1m rid=r13
[md-lifecycle] subscribe_sent subject=marketdata.trade/binance/SOLUSDT/raw rid=r14
[md-lifecycle] subscribe_sent subject=marketdata.bookdelta/binance/SOLUSDT/raw rid=r15
[md-lifecycle] subscribe_sent subject=aggregation.stats/binance/SOLUSDT/raw rid=r16
[md-lifecycle] subscribe_sent subject=insights.heatmap_snapshot/binance/SOLUSDT/1m rid=r17
[md-lifecycle] subscribe_sent subject=insights.volume_profile_snapshot/binance/SOLUSDT/1m rid=r18
[md-lifecycle] subscribe_sent subject=aggregation.candle/binance/SOLUSDT/1m rid=r19
[soak] subscriptions=18 mode=multi log_ms=5000 duration_s=1800
[md-lifecycle] hello_ok proto_ver=1 server_id=4756f1cd-b3ff-4b5e-a5bf-2e65b8548a1c topics=7 venues=5 symbols=0
[md-lifecycle] ack_recv op=hello subject=
[md-lifecycle] ack_recv op=subscribe subject=marketdata.trade/binance/BTCUSDT/raw
[md-lifecycle] ack_recv op=subscribe subject=marketdata.bookdelta/binance/BTCUSDT/raw
[md-lifecycle] ack_recv op=subscribe subject=aggregation.stats/binance/BTCUSDT/raw
[md-lifecycle] ack_recv op=subscribe subject=insights.heatmap_snapshot/binance/BTCUSDT/1m
[md-lifecycle] ack_recv op=subscribe subject=insights.volume_profile_snapshot/binance/BTCUSDT/1m
[md-lifecycle] ack_recv op=subscribe subject=aggregation.candle/binance/BTCUSDT/1m
[md-lifecycle] ack_recv op=subscribe subject=marketdata.trade/binance/ETHUSDT/raw
[md-lifecycle] ack_recv op=subscribe subject=marketdata.bookdelta/binance/ETHUSDT/raw
[md-lifecycle] ack_recv op=subscribe subject=aggregation.stats/binance/ETHUSDT/raw
[md-lifecycle] ack_recv op=subscribe subject=insights.heatmap_snapshot/binance/ETHUSDT/1m
[md-lifecycle] ack_recv op=subscribe subject=insights.volume_profile_snapshot/binance/ETHUSDT/1m
[md-lifecycle] ack_recv op=subscribe subject=aggregation.candle/binance/ETHUSDT/1m
[md-lifecycle] ack_recv op=subscribe subject=marketdata.trade/binance/SOLUSDT/raw
[md-lifecycle] ack_recv op=subscribe subject=marketdata.bookdelta/binance/SOLUSDT/raw
[md-lifecycle] ack_recv op=subscribe subject=aggregation.stats/binance/SOLUSDT/raw
[md-lifecycle] ack_recv op=subscribe subject=insights.heatmap_snapshot/binance/SOLUSDT/1m
[md-lifecycle] ack_recv op=subscribe subject=insights.volume_profile_snapshot/binance/SOLUSDT/1m
[md-lifecycle] ack_recv op=subscribe subject=aggregation.candle/binance/SOLUSDT/1m
[soak] t_ms=41 frame=1 conn=Connected health=No_Data streams=6 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=0.0 bps=0 rtt=16 lag=0 last=29 pm=21 pr=21 pb=2521 w[t=0 ob=0/0 st=0 hm=0 vp=0 c=0]
[md-lifecycle] first_data_after_connect_ms=313 kind=Range_Candle sid=6af6786668ce2458
[soak] t_ms=5042 frame=1164 conn=Connected health=OK streams=15 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=96.2 bps=225789 rtt=16 lag=0 last=0 pm=717 pr=717 pb=1324761 w[t=244 ob=0/0 st=64 hm=4 vp=1 c=19]
[soak] t_ms=10042 frame=1764 conn=Connected health=OK streams=15 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=145.0 bps=160932 rtt=16 lag=0 last=7 pm=1135 pr=1135 pb=2089800 w[t=256 ob=0/0 st=64 hm=7 vp=6 c=19]
[soak] t_ms=15042 frame=2364 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=46.6 bps=105398 rtt=16 lag=1 last=3 pm=1483 pr=1483 pb=2720461 w[t=256 ob=0/0 st=64 hm=12 vp=13 c=19]
[soak] t_ms=20042 frame=2964 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=1 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=54.6 bps=92111 rtt=5 lag=3 last=3 pm=1804 pr=1804 pb=3290315 w[t=256 ob=0/0 st=64 hm=17 vp=18 c=19]
[soak] t_ms=25042 frame=3564 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=21 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=68.3 bps=113095 rtt=5 lag=3 last=1 pm=2124 pr=2124 pb=3818567 w[t=256 ob=0/0 st=64 hm=22 vp=19 c=19]
[soak] t_ms=30042 frame=4164 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=51.5 bps=91033 rtt=5 lag=0 last=2 pm=2647 pr=2647 pb=4702137 w[t=256 ob=0/0 st=64 hm=28 vp=20 c=19]
[soak] t_ms=35042 frame=4763 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=1 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=49.7 bps=102946 rtt=5 lag=0 last=32 pm=2996 pr=2996 pb=5300771 w[t=256 ob=0/0 st=64 hm=33 vp=20 c=19]
[soak] t_ms=40042 frame=5363 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=1 qmax=0 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=44.7 bps=96125 rtt=1 lag=0 last=8 pm=3315 pr=3315 pb=5961495 w[t=256 ob=0/0 st=64 hm=40 vp=25 c=19]
[soak] t_ms=45044 frame=5964 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=1 cb=0 drop=0 d+0 p=1 rc=0 rc+0 mps=52.3 bps=104146 rtt=1 lag=1 last=0 pm=3910 pr=3910 pb=6994310 w[t=256 ob=0/0 st=64 hm=46 vp=25 c=19]
[soak] t_ms=50045 frame=6564 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=66.7 bps=120402 rtt=1 lag=0 last=48 pm=4323 pr=4323 pb=7740263 w[t=256 ob=0/0 st=64 hm=51 vp=25 c=19]
[soak] t_ms=55045 frame=7164 conn=Connected health=OK streams=16 active=de887c091c3bfef4 ev=0 fix=0 pend_restore=false subs=18 q=0 qmax=0 cb=0 drop=0 d+0 p=0 rc=0 rc+0 mps=59.4 bps=147469 rtt=1 lag=0 last=47 pm=4675 pr=4675 pb=8448095 w[t=256 ob=0/0 st=64 hm=58 vp=26 c=20]
